114	[8, 2, 6]
202	[8, 5, 7]
248	[7]
155	[8, 6]
282	[8]
70	[4]
216	[8, 6]
156	[8, 6]
0	[8, 4, 6]
278	[8]
134	[2, 3, 6, 7, 8]
1	[4, 5, 6, 7, 8]
281	[8]
122	[4, 5, 6, 7, 8]
172	[8, 6]
188	[8, 5, 7]
224	[8]
123	[8, 5, 6, 7]
250	[8, 3]
239	[8, 4, 6, 7]
2	[5, 6, 7]
265	[8]
297	[7]
300	[8]
292	[8]
3	[1, 2, 6, 7]
115	[4, 5, 6, 7, 8]
116	[4, 5, 6, 7, 8]
229	[4, 5, 6, 7, 8]
174	[2, 3, 4, 5, 6, 7, 8]
225	[8]
126	[2, 3, 5, 6, 7, 8]
244	[5, 7]
4	[3]
145	[8, 6, 7]
81	[1, 5, 7]
48	[8, 6, 7]
205	[3, 6]
249	[8, 6]
5	[2, 3, 4, 5, 6, 7, 8]
83	[5]
6	[2, 3, 4, 5, 6, 7, 8]
196	[8, 6]
162	[3]
7	[5]
149	[3]
217	[5, 7]
283	[8]
56	[6]
226	[7]
210	[8, 4, 6]
41	[8, 6]
218	[8, 5, 7]
113	[2, 3, 4]
49	[5, 7]
182	[8, 4, 6]
165	[8, 6]
215	[5, 7]
50	[6]
198	[5, 7]
275	[7]
102	[2, 3, 5, 6, 7, 8]
8	[2, 3, 4, 5, 6, 7, 8]
264	[8, 7]
9	[2, 4, 6, 7, 8]
253	[5, 7]
82	[3, 5, 6, 7, 8]
130	[8, 6]
276	[8]
54	[3, 4, 5, 6, 7, 8]
99	[8]
295	[8]
75	[5, 7]
266	[7]
10	[8, 5, 6, 7]
260	[4, 5]
57	[5, 7]
96	[7]
11	[5]
58	[2, 3, 4, 5, 6, 7, 8]
254	[5, 7]
187	[7]
66	[8, 6]
62	[5, 7]
71	[8, 5, 6, 7]
135	[8, 6]
185	[5, 7]
12	[5, 7]
279	[7]
127	[3, 5, 7]
13	[2]
150	[2]
55	[8, 5, 6, 7]
151	[8, 6]
164	[8, 6]
301	[7]
285	[8]
106	[8]
203	[3, 4, 6, 7, 8]
77	[8, 7]
73	[2]
42	[1, 2, 3]
201	[3]
287	[8]
284	[8]
152	[8, 5, 6, 7]
14	[8, 5, 6, 7]
76	[8, 6]
90	[3, 5]
43	[8, 4, 6]
175	[2, 3, 4, 5]
15	[4, 7]
233	[8]
204	[5, 7]
270	[7]
199	[4]
136	[8]
286	[7]
280	[8]
16	[2, 3, 4, 5, 6, 7, 8]
197	[3]
157	[3, 5, 7]
139	[8, 6]
236	[3]
